param_id,stage_id,well_id,treating_pressure_psi,isip_psi,frac_closure_pressure_psi,net_pressure_psi,slurry_rate_bpm,max_rate_bpm,proppant_concentration_lb_gal,total_fluid_mgal,total_proppant_klb,fluid_efficiency_pct,breakdown_pressure_psi,friction_pressure_psi,bottomhole_pressure_psi
PRM-00177,STG-00178,WL-006,7433.0,4270.0,3916.0,3517.0,88.4,97.6,0.71,288.1,490.8,49.5,8785.0,2361.0,9046.0
PRM-00178,STG-00179,WL-006,8247.0,3770.0,3307.0,4940.0,98.5,102.2,1.86,483.2,413.0,72.7,9028.0,2441.0,10140.0
PRM-00179,STG-00180,WL-006,7322.0,3448.0,3058.0,4264.0,60.4,63.6,1.59,483.0,542.1,48.8,8260.0,1905.0,9702.0
PRM-00180,STG-00181,WL-006,10094.0,4752.0,4354.0,5740.0,99.3,108.2,1.0,597.2,203.9,51.6,11238.0,2456.0,11790.0
PRM-00181,STG-00182,WL-006,9346.0,5356.0,4690.0,4656.0,85.9,95.6,1.34,678.3,348.0,55.5,10263.0,2154.0,11842.0
PRM-00182,STG-00183,WL-006,8135.0,4082.0,3559.0,4576.0,62.2,62.2,0.91,451.4,333.3,71.6,9571.0,2388.0,9803.0
PRM-00183,STG-00184,WL-006,7402.0,3465.0,3094.0,4308.0,62.7,63.8,1.95,320.2,524.5,55.5,8159.0,1800.0,9523.0
PRM-00184,STG-00185,WL-006,7031.0,3201.0,2782.0,4249.0,99.8,100.4,0.97,328.6,196.5,50.7,8229.0,1746.0,8975.0
PRM-00185,STG-00186,WL-006,7763.0,4280.0,3642.0,4121.0,80.4,89.8,2.22,572.7,500.9,53.4,9303.0,1973.0,10250.0
PRM-00186,STG-00187,WL-006,6850.0,3636.0,3347.0,3503.0,99.7,104.9,2.22,800.6,212.9,35.3,7607.0,1576.0,9169.0
PRM-00187,STG-00188,WL-006,10459.0,5236.0,4577.0,5882.0,54.8,56.7,0.5,377.5,291.7,37.7,11276.0,2089.0,12250.0
PRM-00188,STG-00189,WL-006,6035.0,3509.0,3020.0,3015.0,96.2,110.0,1.49,701.4,300.1,37.4,6606.0,1677.0,7855.0
PRM-00189,STG-00190,WL-006,6517.0,3093.0,2667.0,3850.0,91.3,92.3,0.74,484.7,414.3,71.4,7029.0,2514.0,8562.0
PRM-00190,STG-00191,WL-006,7969.0,3788.0,3511.0,4458.0,94.2,107.4,0.53,737.5,368.2,71.4,9347.0,2621.0,9668.0
PRM-00191,STG-00192,WL-006,7170.0,3532.0,3195.0,3975.0,71.6,73.3,1.25,298.3,323.8,62.6,7709.0,1696.0,9173.0
PRM-00192,STG-00193,WL-007,8024.0,4388.0,3895.0,4129.0,66.2,70.3,1.59,407.1,209.1,36.6,8755.0,2729.0,10478.0
PRM-00193,STG-00194,WL-007,8149.0,4098.0,3872.0,4277.0,61.7,63.0,0.86,221.8,323.4,65.5,8689.0,2770.0,10031.0
PRM-00194,STG-00195,WL-007,6964.0,3789.0,3568.0,3396.0,67.7,76.7,0.79,382.2,527.9,60.0,8157.0,1310.0,8799.0
PRM-00195,STG-00196,WL-007,8437.0,4194.0,3815.0,4622.0,85.4,95.8,1.21,482.1,232.0,50.3,9026.0,1515.0,10174.0
PRM-00196,STG-00197,WL-007,8283.0,4474.0,3894.0,4389.0,87.8,94.0,1.23,510.4,485.2,67.0,8921.0,1376.0,10667.0
PRM-00197,STG-00198,WL-007,6403.0,3211.0,2831.0,3572.0,87.4,88.1,0.55,649.0,435.0,59.4,6954.0,1819.0,7984.0
PRM-00198,STG-00199,WL-007,7138.0,3308.0,2853.0,4285.0,96.4,100.8,0.51,356.3,357.7,72.0,7668.0,2745.0,8844.0
PRM-00199,STG-00200,WL-007,6869.0,3855.0,3483.0,3386.0,81.9,84.3,2.27,558.6,384.0,41.6,8157.0,1725.0,8741.0
PRM-00200,STG-00201,WL-007,6909.0,4096.0,3502.0,3407.0,89.5,93.0,1.69,589.4,506.5,53.6,7490.0,2390.0,9328.0
PRM-00201,STG-00202,WL-007,8454.0,4342.0,3903.0,4551.0,73.7,77.6,2.42,272.4,343.1,71.4,9598.0,2419.0,10766.0
PRM-00202,STG-00203,WL-007,6860.0,3960.0,3613.0,3247.0,74.5,82.8,2.09,358.0,529.0,67.2,8073.0,1832.0,8411.0
PRM-00203,STG-00204,WL-007,5974.0,3048.0,2700.0,3274.0,87.0,95.3,1.4,435.6,457.1,42.5,6944.0,2073.0,7678.0
PRM-00204,STG-00205,WL-007,8308.0,4340.0,4104.0,4204.0,68.6,73.0,2.43,520.9,444.4,54.0,9842.0,2040.0,10515.0
PRM-00205,STG-00206,WL-007,6824.0,3329.0,2830.0,3994.0,77.9,78.4,0.75,437.1,253.6,74.1,7413.0,2261.0,9163.0
PRM-00206,STG-00207,WL-007,6557.0,3667.0,3475.0,3082.0,84.0,91.2,1.96,420.5,464.9,48.7,7523.0,1310.0,8954.0
PRM-00207,STG-00208,WL-007,9938.0,4650.0,4136.0,5802.0,39.8,42.6,2.13,292.9,400.2,69.2,10942.0,2591.0,11526.0
PRM-00208,STG-00209,WL-007,7930.0,3785.0,3420.0,4510.0,77.2,84.6,0.83,290.5,441.2,42.9,8578.0,1266.0,9752.0
PRM-00209,STG-00210,WL-007,7843.0,4188.0,3959.0,3884.0,94.3,104.5,1.83,519.6,339.5,72.2,8856.0,1614.0,9396.0
PRM-00210,STG-00211,WL-007,7013.0,3474.0,3011.0,4002.0,81.3,85.9,1.63,434.3,401.5,59.7,8384.0,2364.0,9436.0
PRM-00211,STG-00212,WL-007,7790.0,4396.0,4011.0,3779.0,83.7,91.3,0.88,461.2,426.2,54.6,8797.0,1735.0,9809.0
PRM-00212,STG-00213,WL-007,7943.0,3796.0,3393.0,4550.0,63.4,66.0,1.37,394.1,423.1,57.3,8754.0,2693.0,10366.0
PRM-00213,STG-00214,WL-007,7061.0,3710.0,3330.0,3731.0,73.1,76.8,1.97,248.1,190.1,71.8,7427.0,2085.0,9302.0
PRM-00214,STG-00215,WL-007,6809.0,4057.0,3645.0,3164.0,80.7,85.9,1.73,295.6,265.0,38.0,7258.0,2540.0,8549.0
PRM-00215,STG-00216,WL-007,7475.0,3582.0,3251.0,4224.0,80.2,81.6,2.04,299.1,199.6,36.5,7908.0,2535.0,9093.0
PRM-00216,STG-00217,WL-007,7437.0,4288.0,3837.0,3600.0,70.5,76.6,1.34,277.1,191.3,57.8,8180.0,1705.0,9044.0
PRM-00217,STG-00218,WL-007,7037.0,3554.0,3366.0,3671.0,64.0,72.3,2.03,483.8,538.5,59.0,8129.0,1656.0,9168.0
PRM-00218,STG-00219,WL-007,6579.0,3708.0,3173.0,3406.0,71.3,76.5,1.14,455.2,522.9,71.5,7510.0,2074.0,8329.0
PRM-00219,STG-00220,WL-007,5229.0,2622.0,2255.0,2974.0,94.1,94.3,1.62,376.2,369.3,73.5,5786.0,2165.0,6809.0
PRM-00220,STG-00221,WL-007,7868.0,4220.0,3759.0,4109.0,65.0,73.6,1.66,251.2,463.6,60.9,9323.0,2198.0,9499.0
PRM-00221,STG-00222,WL-007,7656.0,3801.0,3488.0,4168.0,68.1,71.2,2.32,267.7,461.3,42.4,8908.0,1959.0,9382.0
PRM-00222,STG-00223,WL-007,7143.0,3564.0,3104.0,4039.0,78.7,80.2,0.8,285.6,545.4,43.1,8324.0,1881.0,9208.0
PRM-00223,STG-00224,WL-007,7591.0,3440.0,3229.0,4362.0,61.4,62.2,1.39,249.6,482.4,56.5,9010.0,1821.0,9921.0
PRM-00224,STG-00225,WL-007,6621.0,3911.0,3624.0,2997.0,71.0,80.9,1.16,396.0,439.0,43.2,7745.0,2382.0,8185.0
PRM-00225,STG-00226,WL-007,8636.0,4388.0,4012.0,4624.0,71.3,79.0,1.11,230.0,544.8,74.1,9556.0,2483.0,10571.0
PRM-00226,STG-00227,WL-007,7340.0,4346.0,3865.0,3475.0,68.8,75.1,1.15,425.3,459.8,52.8,8524.0,1565.0,8898.0
PRM-00227,STG-00228,WL-007,7685.0,3804.0,3386.0,4299.0,79.0,79.7,0.84,586.6,309.3,58.3,9089.0,1443.0,9783.0
PRM-00228,STG-00229,WL-007,6795.0,3772.0,3467.0,3328.0,76.4,84.0,1.51,254.1,179.1,36.5,7510.0,2766.0,8716.0
PRM-00229,STG-00230,WL-007,8939.0,4696.0,4366.0,4573.0,96.4,108.9,1.93,683.4,394.5,53.3,10023.0,1818.0,11406.0
PRM-00230,STG-00231,WL-008,7088.0,4107.0,3662.0,3426.0,79.2,89.6,0.64,314.0,382.4,43.2,8321.0,2092.0,8643.0
PRM-00231,STG-00232,WL-008,7695.0,4585.0,4291.0,3404.0,80.5,84.2,1.08,394.9,352.3,42.7,8229.0,1677.0,9975.0
PRM-00232,STG-00233,WL-008,6266.0,2976.0,2824.0,3442.0,73.3,78.6,2.38,450.7,304.9,42.2,7417.0,1937.0,8476.0
PRM-00233,STG-00234,WL-008,7371.0,4405.0,3868.0,3503.0,62.0,63.7,0.69,331.2,446.4,36.6,7764.0,2439.0,9005.0
PRM-00234,STG-00235,WL-008,9379.0,4823.0,4467.0,4912.0,61.1,69.3,2.07,197.1,180.3,52.3,10601.0,1963.0,11268.0
PRM-00235,STG-00236,WL-008,6927.0,4039.0,3808.0,3119.0,95.8,109.6,1.17,634.1,406.9,55.4,7744.0,1646.0,9386.0
PRM-00236,STG-00237,WL-008,7695.0,3789.0,3241.0,4454.0,71.2,77.4,1.31,399.5,550.7,38.3,8258.0,1903.0,9705.0
PRM-00237,STG-00238,WL-008,6628.0,3240.0,3067.0,3561.0,72.7,83.0,0.67,258.9,290.0,48.4,7527.0,2655.0,8134.0
PRM-00238,STG-00239,WL-008,7536.0,3407.0,3146.0,4390.0,70.3,80.8,1.4,401.6,436.1,46.5,8521.0,2053.0,9442.0
PRM-00239,STG-00240,WL-008,7947.0,3778.0,3439.0,4508.0,99.1,102.5,2.21,432.9,363.1,56.8,9173.0,2024.0,10437.0
PRM-00240,STG-00241,WL-008,6243.0,3532.0,3155.0,3088.0,66.8,74.6,1.27,208.7,306.4,54.4,7299.0,2122.0,8085.0
PRM-00241,STG-00242,WL-008,8584.0,4906.0,4298.0,4286.0,69.5,69.6,0.95,284.9,365.4,60.9,9671.0,1913.0,11051.0
PRM-00242,STG-00243,WL-008,8360.0,3937.0,3629.0,4731.0,82.8,87.4,2.24,300.5,394.9,38.7,9352.0,1831.0,10727.0
PRM-00243,STG-00244,WL-008,7669.0,3732.0,3302.0,4367.0,98.7,112.0,2.42,593.6,269.2,73.7,8563.0,1714.0,9695.0
PRM-00244,STG-00245,WL-008,6603.0,3701.0,3277.0,3326.0,62.1,65.0,0.6,434.0,321.1,54.6,7251.0,1508.0,8412.0
PRM-00245,STG-00246,WL-008,8244.0,4915.0,4661.0,3583.0,76.4,79.2,1.39,264.4,392.4,62.3,9542.0,2172.0,9833.0
PRM-00246,STG-00247,WL-008,7134.0,3848.0,3282.0,3852.0,89.6,100.9,0.92,535.9,491.8,53.4,7724.0,1414.0,9587.0
PRM-00247,STG-00248,WL-008,7649.0,3525.0,3188.0,4461.0,68.0,69.3,1.2,354.1,408.8,46.6,8305.0,1542.0,9560.0
PRM-00248,STG-00249,WL-008,6721.0,3394.0,3156.0,3565.0,75.6,78.3,2.45,337.8,534.2,37.7,7377.0,1627.0,8727.0
PRM-00249,STG-00250,WL-008,8063.0,4569.0,4198.0,3865.0,94.3,98.7,2.19,592.5,311.2,37.4,9315.0,1216.0,9972.0
PRM-00250,STG-00251,WL-008,8476.0,4788.0,4284.0,4192.0,72.2,80.1,2.12,346.9,286.5,62.7,10155.0,1560.0,10638.0
PRM-00251,STG-00252,WL-008,6639.0,3595.0,3260.0,3379.0,96.6,100.6,0.81,587.5,458.1,54.0,7303.0,2127.0,9028.0
PRM-00252,STG-00253,WL-008,9059.0,4781.0,4212.0,4847.0,62.0,63.7,0.97,218.7,360.8,55.2,9951.0,1613.0,11023.0
PRM-00253,STG-00254,WL-008,8320.0,3910.0,3365.0,4955.0,97.1,108.4,2.24,414.3,441.6,67.3,9694.0,1382.0,10464.0
PRM-00254,STG-00255,WL-008,7721.0,4223.0,3859.0,3862.0,78.3,79.3,1.56,310.4,189.3,52.4,8446.0,2073.0,9354.0
PRM-00255,STG-00256,WL-008,8456.0,4682.0,4048.0,4408.0,91.8,103.9,0.83,357.8,215.5,56.1,9471.0,1371.0,10606.0
PRM-00256,STG-00257,WL-008,7626.0,4148.0,3633.0,3993.0,63.0,64.3,0.72,215.9,194.8,45.4,8448.0,2709.0,9736.0
PRM-00257,STG-00258,WL-008,7641.0,4395.0,3857.0,3784.0,88.4,96.9,0.73,451.5,452.2,48.6,9167.0,1622.0,9420.0
PRM-00258,STG-00259,WL-008,8364.0,4813.0,4487.0,3877.0,99.0,108.6,2.45,355.9,200.8,60.9,8943.0,2240.0,10846.0
PRM-00259,STG-00260,WL-008,8254.0,4843.0,4517.0,3737.0,77.6,85.8,0.58,612.7,312.1,53.4,8735.0,1883.0,10223.0
PRM-00260,STG-00261,WL-008,7660.0,3805.0,3371.0,4289.0,81.0,86.8,0.63,579.7,540.9,49.2,8827.0,2260.0,9875.0
PRM-00261,STG-00262,WL-008,7987.0,3915.0,3343.0,4644.0,72.6,79.1,0.75,283.0,422.0,69.8,9454.0,1918.0,9946.0
PRM-00262,STG-00263,WL-008,7681.0,4403.0,4129.0,3552.0,69.8,72.3,1.34,537.1,490.7,57.0,8287.0,1363.0,10092.0
PRM-00263,STG-00264,WL-008,7051.0,4041.0,3612.0,3439.0,90.4,95.0,0.6,534.6,492.6,56.9,7500.0,2411.0,9133.0
PRM-00264,STG-00265,WL-008,7104.0,3393.0,2890.0,4214.0,62.3,62.8,1.68,429.1,491.3,57.9,8332.0,1723.0,8954.0
PRM-00265,STG-00266,WL-008,7102.0,3831.0,3496.0,3606.0,71.0,77.2,0.55,331.6,451.9,64.7,8176.0,1529.0,8954.0
PRM-00266,STG-00267,WL-008,8180.0,4862.0,4528.0,3652.0,85.1,92.5,0.87,474.7,216.0,59.7,9548.0,2325.0,10514.0
PRM-00267,STG-00268,WL-008,7834.0,3591.0,3282.0,4552.0,89.9,94.1,2.2,323.2,283.6,73.3,8265.0,2128.0,9501.0
PRM-00268,STG-00269,WL-008,6824.0,3312.0,2863.0,3961.0,79.8,88.9,2.33,356.6,255.7,55.0,8099.0,1435.0,8970.0
PRM-00269,STG-00270,WL-008,7943.0,3852.0,3565.0,4378.0,66.3,69.4,1.87,251.7,398.9,52.9,8823.0,2775.0,9735.0
PRM-00270,STG-00271,WL-008,6733.0,3600.0,3382.0,3351.0,70.1,71.2,2.33,400.4,275.9,61.3,7986.0,1470.0,9201.0
PRM-00271,STG-00272,WL-008,6418.0,3324.0,2888.0,3530.0,97.8,102.3,1.85,460.1,289.4,38.7,6877.0,1367.0,8341.0
PRM-00272,STG-00273,WL-008,7166.0,3365.0,2916.0,4250.0,85.7,97.6,0.89,288.0,212.9,67.9,7905.0,2249.0,9203.0
PRM-00273,STG-00274,WL-009,7775.0,4288.0,3662.0,4113.0,87.3,93.3,1.76,404.8,276.1,70.6,8828.0,2532.0,10267.0
PRM-00274,STG-00275,WL-009,7901.0,4355.0,3808.0,4093.0,99.2,111.1,2.47,426.6,433.7,39.3,9221.0,2656.0,9784.0
PRM-00275,STG-00276,WL-009,6797.0,3702.0,3429.0,3368.0,77.2,88.0,1.38,529.2,292.7,72.6,7315.0,2600.0,9034.0
PRM-00276,STG-00277,WL-009,7420.0,3637.0,3185.0,4235.0,96.5,106.9,1.77,522.0,446.6,36.1,8209.0,2203.0,9066.0
PRM-00277,STG-00278,WL-009,7454.0,4275.0,3889.0,3565.0,69.4,70.5,1.8,331.1,328.2,35.7,8844.0,1631.0,9774.0
PRM-00278,STG-00279,WL-009,10482.0,6235.0,5384.0,5098.0,57.5,65.9,1.51,415.4,474.4,73.6,11264.0,1679.0,12082.0
PRM-00279,STG-00280,WL-009,6517.0,3198.0,2828.0,3689.0,92.6,106.2,1.26,339.1,209.5,60.2,7250.0,1466.0,9003.0
PRM-00280,STG-00281,WL-009,7047.0,3245.0,3060.0,3987.0,62.3,66.9,0.74,483.5,394.0,68.7,7871.0,2334.0,9279.0
PRM-00281,STG-00282,WL-009,8165.0,3887.0,3444.0,4721.0,74.4,80.4,1.77,250.0,202.9,74.8,9154.0,2506.0,10097.0
PRM-00282,STG-00283,WL-009,7837.0,4569.0,4074.0,3763.0,76.4,78.1,1.71,451.8,412.5,38.7,8248.0,2598.0,9573.0
PRM-00283,STG-00284,WL-009,8548.0,4118.0,3567.0,4981.0,89.4,102.3,1.14,333.4,366.0,69.1,10083.0,1851.0,10810.0
PRM-00284,STG-00285,WL-009,7545.0,3911.0,3605.0,3940.0,80.7,86.1,0.51,325.4,334.8,64.3,8186.0,2501.0,9633.0
PRM-00285,STG-00286,WL-009,7252.0,3493.0,3114.0,4138.0,69.5,72.2,1.76,268.5,487.4,69.7,8343.0,1917.0,9240.0
PRM-00286,STG-00287,WL-009,7919.0,3990.0,3617.0,4302.0,99.8,113.5,1.46,637.1,358.5,67.0,8851.0,2350.0,10005.0
PRM-00287,STG-00288,WL-009,6524.0,3418.0,3218.0,3306.0,67.7,71.1,1.43,327.6,268.5,73.1,7372.0,2210.0,8567.0
PRM-00288,STG-00289,WL-009,7248.0,3369.0,2938.0,4310.0,84.9,87.0,1.39,425.0,467.9,51.3,8618.0,2337.0,9167.0
PRM-00289,STG-00290,WL-009,6747.0,3560.0,3128.0,3619.0,63.4,69.0,2.47,332.3,426.1,39.4,8062.0,1480.0,8895.0
PRM-00290,STG-00291,WL-009,8158.0,4622.0,3965.0,4193.0,86.9,91.2,1.73,464.3,510.8,44.9,9775.0,1823.0,10391.0
PRM-00291,STG-00292,WL-009,6730.0,3720.0,3315.0,3415.0,68.5,70.9,0.98,464.9,281.8,35.8,7954.0,2745.0,8572.0
PRM-00292,STG-00293,WL-009,8261.0,3899.0,3332.0,4929.0,66.4,72.6,2.08,278.9,407.3,47.4,9131.0,2432.0,10572.0
PRM-00293,STG-00294,WL-009,7922.0,4041.0,3630.0,4292.0,97.9,111.1,1.31,486.8,465.6,71.3,8422.0,2698.0,10248.0
PRM-00294,STG-00295,WL-009,7013.0,4003.0,3423.0,3590.0,94.0,96.1,1.08,713.8,533.3,56.5,7969.0,2232.0,8530.0
PRM-00295,STG-00296,WL-010,10274.0,6103.0,5534.0,4740.0,31.3,35.7,0.79,113.6,181.6,61.6,12055.0,1221.0,12316.0
PRM-00296,STG-00297,WL-010,7435.0,3426.0,3078.0,4357.0,87.4,89.4,1.51,540.3,463.1,60.9,7999.0,2596.0,9548.0
PRM-00297,STG-00298,WL-010,4964.0,2351.0,2146.0,2818.0,98.5,102.2,1.54,367.4,203.7,67.1,5821.0,2766.0,6966.0
PRM-00298,STG-00299,WL-010,8783.0,4127.0,3680.0,5103.0,81.9,92.4,1.59,503.6,209.9,69.2,9353.0,1345.0,10546.0
PRM-00299,STG-00300,WL-010,7272.0,4227.0,3856.0,3416.0,65.2,68.7,1.94,490.7,214.3,66.6,7891.0,2223.0,9008.0
PRM-00300,STG-00301,WL-010,8038.0,3770.0,3366.0,4672.0,94.7,97.0,1.69,359.6,224.0,63.0,9355.0,1369.0,10044.0
PRM-00301,STG-00302,WL-010,7807.0,4467.0,4036.0,3771.0,97.4,103.2,1.53,415.6,532.5,68.9,8775.0,1955.0,9797.0
PRM-00302,STG-00303,WL-010,7723.0,3943.0,3446.0,4277.0,73.3,82.0,1.48,234.0,391.0,54.5,8496.0,1371.0,9462.0
PRM-00303,STG-00304,WL-010,7733.0,4581.0,4035.0,3698.0,72.2,72.6,0.84,494.9,349.0,47.9,8751.0,2083.0,9590.0
PRM-00304,STG-00305,WL-010,7906.0,4005.0,3708.0,4198.0,70.3,72.5,0.99,333.1,347.9,63.4,8326.0,1870.0,10182.0
PRM-00305,STG-00306,WL-010,7454.0,3733.0,3193.0,4261.0,82.5,93.1,0.91,296.6,454.5,42.9,8804.0,1764.0,9677.0
PRM-00306,STG-00307,WL-010,8002.0,3753.0,3264.0,4738.0,67.1,76.6,1.49,245.7,207.1,74.1,8854.0,2677.0,10047.0
PRM-00307,STG-00308,WL-010,7276.0,3569.0,3128.0,4148.0,88.1,97.0,1.82,621.6,547.1,37.1,7764.0,1206.0,9775.0
PRM-00308,STG-00309,WL-010,7970.0,4196.0,3724.0,4246.0,72.0,80.2,0.8,300.0,283.1,56.6,8461.0,1229.0,9572.0
PRM-00309,STG-00310,WL-010,7996.0,4091.0,3668.0,4328.0,97.3,102.6,1.77,647.3,476.9,39.3,9446.0,2453.0,9664.0
PRM-00310,STG-00311,WL-010,5400.0,2936.0,2510.0,2890.0,97.8,98.7,1.66,637.5,378.8,42.5,5696.0,2389.0,7623.0
PRM-00311,STG-00312,WL-010,9539.0,4487.0,3926.0,5613.0,93.4,98.6,0.81,401.7,289.2,45.2,10716.0,1852.0,12026.0
PRM-00312,STG-00313,WL-010,7618.0,3490.0,3162.0,4456.0,93.5,95.9,1.52,367.6,373.9,42.9,8363.0,2150.0,9328.0
PRM-00313,STG-00314,WL-010,7082.0,3310.0,3074.0,4008.0,98.8,103.2,0.54,590.9,477.2,40.4,7591.0,2316.0,9225.0
PRM-00314,STG-00315,WL-010,9118.0,4436.0,4083.0,5035.0,55.3,58.6,0.92,295.4,203.5,71.8,10463.0,1345.0,11566.0
PRM-00315,STG-00316,WL-010,7880.0,3852.0,3465.0,4415.0,73.5,74.9,1.3,279.1,195.6,51.0,8689.0,2437.0,10183.0
PRM-00316,STG-00317,WL-010,7186.0,3636.0,3160.0,4026.0,66.1,69.7,2.1,368.7,441.4,39.2,8222.0,1394.0,9672.0
PRM-00317,STG-00318,WL-011,6686.0,3792.0,3433.0,3253.0,75.6,77.6,1.66,236.2,517.9,50.1,7866.0,2231.0,8837.0
PRM-00318,STG-00319,WL-011,8831.0,4977.0,4589.0,4242.0,84.3,85.4,0.83,651.5,475.2,53.6,9503.0,1740.0,10349.0
PRM-00319,STG-00320,WL-011,7744.0,3950.0,3688.0,4056.0,82.0,84.7,1.74,534.5,425.0,39.8,9120.0,1451.0,10219.0
PRM-00320,STG-00321,WL-011,7503.0,4481.0,3966.0,3537.0,63.9,72.8,1.11,420.8,415.6,37.6,8496.0,2145.0,9656.0
PRM-00321,STG-00322,WL-011,8484.0,4143.0,3864.0,4620.0,74.6,80.9,2.19,441.2,249.4,65.5,9816.0,1532.0,10553.0
PRM-00322,STG-00323,WL-011,7343.0,4369.0,4129.0,3214.0,78.1,81.8,0.79,404.1,322.3,69.7,8681.0,1760.0,8926.0
PRM-00323,STG-00324,WL-011,8348.0,4664.0,4191.0,4157.0,72.5,81.0,2.07,560.3,342.3,50.3,9320.0,1802.0,10215.0
PRM-00324,STG-00325,WL-011,8603.0,4338.0,3808.0,4795.0,81.0,92.3,1.84,430.0,277.3,63.9,9778.0,2236.0,10132.0
PRM-00325,STG-00326,WL-011,7593.0,4121.0,3536.0,4057.0,80.4,82.7,1.59,642.9,311.1,73.0,8438.0,1947.0,9146.0
PRM-00326,STG-00327,WL-011,8069.0,3925.0,3517.0,4552.0,89.8,93.7,0.84,328.9,247.6,44.9,9253.0,2242.0,10394.0
PRM-00327,STG-00328,WL-011,9990.0,5121.0,4658.0,5332.0,62.9,69.6,1.05,465.0,543.7,35.3,11266.0,1260.0,12059.0
PRM-00328,STG-00329,WL-011,5816.0,3442.0,3008.0,2808.0,86.9,93.0,0.63,522.7,350.9,53.2,6615.0,1771.0,7480.0
PRM-00329,STG-00330,WL-011,9134.0,4800.0,4529.0,4605.0,93.2,106.0,1.83,306.9,303.2,43.4,9645.0,2386.0,11462.0
PRM-00330,STG-00331,WL-011,8073.0,3667.0,3321.0,4752.0,69.9,77.7,1.42,493.2,411.9,46.2,9161.0,1341.0,9987.0
PRM-00331,STG-00332,WL-011,9415.0,5296.0,4765.0,4650.0,87.7,92.0,2.48,412.5,280.5,52.6,11096.0,2295.0,11797.0
PRM-00332,STG-00333,WL-011,7773.0,3568.0,3216.0,4557.0,95.5,109.0,1.16,548.7,294.3,36.9,8572.0,2571.0,9669.0
PRM-00333,STG-00334,WL-011,7283.0,3495.0,3237.0,4046.0,77.0,82.8,1.27,367.4,519.4,74.5,8155.0,1293.0,9045.0
PRM-00334,STG-00335,WL-011,6557.0,3883.0,3581.0,2976.0,90.7,103.5,1.04,612.6,397.8,70.3,7392.0,2439.0,8619.0
PRM-00335,STG-00336,WL-011,7324.0,3903.0,3422.0,3902.0,64.6,64.8,0.75,269.1,374.8,63.9,7726.0,2152.0,9363.0
PRM-00336,STG-00337,WL-012,7486.0,3440.0,3072.0,4414.0,82.1,86.0,2.18,306.2,550.0,71.3,8075.0,2185.0,9392.0
PRM-00337,STG-00338,WL-012,7904.0,3606.0,3407.0,4497.0,73.9,76.9,1.03,409.7,433.5,67.5,8365.0,2061.0,9475.0
PRM-00338,STG-00339,WL-012,8323.0,4554.0,4106.0,4217.0,98.8,100.5,1.93,753.6,522.9,56.1,8898.0,2148.0,10305.0
PRM-00339,STG-00340,WL-012,7901.0,4293.0,4057.0,3844.0,60.4,63.9,0.89,359.2,360.5,52.0,9143.0,2166.0,9700.0
PRM-00340,STG-00341,WL-012,6396.0,3805.0,3319.0,3077.0,65.2,72.8,1.24,201.5,186.1,43.0,6793.0,1959.0,7906.0
PRM-00341,STG-00342,WL-012,9451.0,4373.0,4091.0,5360.0,54.2,59.8,2.04,213.1,519.3,37.1,11033.0,2553.0,11750.0
PRM-00342,STG-00343,WL-012,6234.0,3596.0,3138.0,3096.0,89.1,91.9,2.46,335.3,234.7,66.7,6720.0,1307.0,8733.0
PRM-00343,STG-00344,WL-012,7540.0,3421.0,3098.0,4442.0,93.4,106.0,1.23,323.2,491.8,72.0,7927.0,1321.0,9290.0
PRM-00344,STG-00345,WL-012,8097.0,4202.0,3978.0,4119.0,84.3,87.7,0.88,467.4,478.1,54.8,8606.0,2095.0,10100.0
PRM-00345,STG-00346,WL-012,7760.0,3660.0,3325.0,4435.0,77.7,77.8,1.17,261.1,371.9,65.4,8978.0,1786.0,9313.0
PRM-00346,STG-00347,WL-012,6887.0,3289.0,3025.0,3862.0,83.1,90.1,0.81,337.9,309.9,50.5,7665.0,2099.0,8393.0
PRM-00347,STG-00348,WL-012,6598.0,3047.0,2870.0,3728.0,95.3,99.2,0.66,387.5,441.3,49.8,7491.0,2611.0,9040.0
PRM-00348,STG-00349,WL-012,7205.0,3965.0,3446.0,3759.0,76.4,85.5,1.44,243.9,194.8,53.2,7891.0,1814.0,9559.0
PRM-00349,STG-00350,WL-012,7671.0,4314.0,4064.0,3607.0,70.9,77.1,0.74,416.9,270.8,56.3,8741.0,1786.0,9978.0
PRM-00350,STG-00351,WL-012,6679.0,3135.0,2937.0,3742.0,81.5,90.8,2.37,564.1,291.9,44.9,7049.0,1363.0,8907.0
PRM-00351,STG-00352,WL-012,7550.0,3624.0,3121.0,4429.0,74.9,79.5,1.5,425.3,448.3,54.4,8540.0,2509.0,9222.0
PRM-00352,STG-00353,WL-012,7980.0,4256.0,3901.0,4079.0,88.0,94.9,1.32,443.5,228.2,60.6,8784.0,2651.0,10067.0
PRM-00353,STG-00354,WL-012,8266.0,3826.0,3441.0,4825.0,78.0,88.5,2.01,296.2,474.0,45.7,9188.0,2638.0,10662.0
PRM-00354,STG-00355,WL-012,10455.0,4844.0,4233.0,6222.0,55.9,59.4,1.14,411.3,243.2,45.0,11480.0,1416.0,12251.0
PRM-00355,STG-00356,WL-012,7839.0,4200.0,3945.0,3894.0,77.7,86.5,1.19,381.2,456.1,48.3,9106.0,1443.0,9469.0
